,position,parameter,mean (+/- std)
0,Abd90ER,P1,59 (14)
1,Abd90ER,P2,179 (32)
2,Abd90ER,P3,85 (15)
3,Abd90ER,P4,501 (271)
4,Abd90ER,P5,1501 (598)
5,Abd90ER,P6,-302 (267)
6,Abd90ER,P7,70 (13)
7,Abd90IR,P1,62 (15)
8,Abd90IR,P2,183 (31)
9,Abd90IR,P3,81 (12)
10,Abd90IR,P4,451 (260)
11,Abd90IR,P5,1396 (590)
12,Abd90IR,P6,-323 (338)
13,Abd90IR,P7,75 (15)
14,Flex180ER,P1,59 (12)
15,Flex180ER,P2,163 (37)
16,Flex180ER,P3,74 (16)
17,Flex180ER,P4,332 (118)
18,Flex180ER,P5,1063 (326)
19,Flex180ER,P6,-277 (292)
20,Flex180ER,P7,70 (17)
21,Flex90ER,P1,58 (15)
22,Flex90ER,P2,183 (34)
23,Flex90ER,P3,71 (19)
24,Flex90ER,P4,454 (256)
25,Flex90ER,P5,1401 (589)
26,Flex90ER,P6,-259 (308)
27,Flex90ER,P7,69 (17)
28,Flex90IR,P1,61 (13)
29,Flex90IR,P2,178 (34)
30,Flex90IR,P3,73 (15)
31,Flex90IR,P4,435 (263)
32,Flex90IR,P5,1330 (598)
33,Flex90IR,P6,-321 (297)
34,Flex90IR,P7,74 (19)
35,Ref,P1,65 (12)
36,Ref,P2,169 (41)
37,Ref,P3,78 (17)
38,Ref,P4,496 (266)
39,Ref,P5,1495 (605)
40,Ref,P6,-394 (468)
41,Ref,P7,79 (17)
